year,raw_value,estimate,lo,hi,method,notes
2004,,0,0,0,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2005,,0,0,0,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2006,,0,0,0,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2007,,0,0,0,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2008,,1,1,1,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2009,,1,1,1,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2010,,1,1,1,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2011,,2,2,2,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2012,,2,2,2,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2013,,2,2,2,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2014,,2,2,2,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2015,,3,3,3,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2016,,3,3,3,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2017,,4,4,4,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2018,,4,4,4,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2019,,5,5,5,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2020,,6,6,6,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2021,,7,7,7,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2022,,8,8,8,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2023,,9,9,9,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2024,,10,10,10,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
2025,,12,12,12,Rounded piecewise-linear count from conservative waypoints (validated events trend).,
