# Some Perspective dataset — data vintage 2026-08-15 — CC BY 4.0
# Source of record: https://someperspective.info/data.json
Indicator,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
gdpGrowth,7.9,9.3,9.3,7.7,3.1,7.9,8.5,5.2,5.5,6.4,7.4,8.0,8.2,7.2,6.1,4.2,-7.3,8.7,7.2,7.6,7.8,6.5,7.4
unemployment,,,,,,,,,,,4.9,5.0,5.0,6.0,6.1,5.8,7.1,4.2,4.1,3.2,3.2,3.1,5.5
youthUnemployment,,,,,,,,,,,13.5,13.8,14.2,15.6,16.1,14.8,17.8,13.2,12.9,12.9,12.8,12.5,12.3
graduateUnemployment,,,,,,,,,,,18.5,19.2,21.0,23.5,25.0,23.0,31.0,25.0,22.0,29.1,28.5,27.0,26.5
top1Share,18.2,18.8,19.6,20.1,20.5,20.6,21.0,21.3,21.0,21.2,21.3,21.7,21.5,21.5,21.7,22.1,22.3,22.5,22.6,22.6,22.6,22.8,23.0
bottom50Share,16.5,16.3,16.0,15.8,15.6,15.5,15.4,15.3,15.2,15.1,15.0,14.7,14.9,14.9,14.7,13.5,13.3,13.1,13.1,13.1,13.1,13.0,12.9
formalEmployment,,,,,,,,,,,13.0,12.8,12.5,12.2,11.9,11.6,11.4,11.5,11.3,11.2,11.2,11.0,10.9
informalEmployment,,,,,,,,,,,87.0,87.2,87.5,87.8,88.1,88.4,88.6,88.5,88.7,88.8,88.8,89.0,89.1
pressFreedom,120,106,105,120,118,105,122,131,140,140,140,136,133,136,138,140,142,142,150,161,159,151,157
fiscalDeficit,4.0,4.0,3.3,2.5,6.0,6.5,4.8,5.9,4.9,4.5,4.1,3.9,3.5,3.5,3.4,4.6,9.2,6.7,6.4,5.6,4.8,4.4,4.4
cpiInflation,3.8,4.2,5.8,6.4,8.3,10.9,12.0,8.9,9.3,10.9,6.7,4.9,4.5,3.6,3.4,4.8,6.2,5.5,6.7,5.4,4.6,4.0,4.45
rupeeUSD,,,,,,,,,,,61,64,67,65,68,70,74,74,79,82,84,87,95
ssi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,2.05,4.0,4.8,7.0,9.0,9.0,8.2,7.05,6.55,6.4
fci,0.0,0.03,0.05,0.07,0.09,0.11,0.12,0.14,0.16,0.17,0.19,0.21,0.25,0.41,0.53,0.65,0.92,0.82,0.7,0.68,0.68,0.68,0.68
dqi,0.59,0.63,0.63,0.6,0.6,0.64,0.6,0.57,0.54,0.54,0.54,0.54,0.53,0.5,0.46,0.43,0.4,0.38,0.33,0.28,0.29,0.31,0.29
gigWorkers,,,,,,,,,,,0.8,1.2,1.8,2.5,3.2,4.1,5.2,6.0,6.8,7.3,7.7,8.2,8.8
ruralIncome,,,,,,,,,,,100,99,98,97,96,95,93,94,95,96,98,97,97
femaleLFPR,,,,,,,,,,,22.5,22.0,21.8,21.5,21.2,21.0,20.8,20.5,20.3,20.5,20.8,20.9,21.0
